时段,短期预测风速,短期预测功率,实测风速,实测功率
20180814,短期预测风速(m/s),短期预测功率(MW),实测风速(m/s),实测功率(MW)
00:00,10.61,40.50,12.73,50.09
00:15,10.57,40.30,9.41,36.47
00:30,10.51,40.06,11.03,48.65
00:45,10.37,39.62,12.02,48.34
01:00,10.11,38.82,13.31,43.25
01:15,9.79,37.75,12.51,46.37
01:30,9.75,37.59,12.30,50.67
01:45,9.69,37.36,11.48,42.46
02:00,9.62,37.11,10.75,48.38
02:15,9.56,36.87,10.24,46.03
02:30,9.47,36.56,11.02,49.45
02:45,9.38,36.20,10.20,45.10
03:00,9.25,35.73,9.97,43.71
03:15,9.12,35.23,10.00,44.68
03:30,8.99,34.71,9.98,41.91
03:45,8.86,34.17,8.66,32.92
04:00,8.74,33.62,8.17,28.46
04:15,8.61,33.05,7.87,24.73
04:30,8.49,32.46,7.29,20.91
04:45,8.37,31.85,7.30,21.11
05:00,8.25,31.24,7.38,20.60
05:15,8.13,30.66,6.82,16.72
05:30,8.07,30.27,6.69,15.31
05:45,8.01,29.93,6.32,14.34
06:00,7.96,29.62,6.58,15.03
06:15,7.92,29.33,6.72,16.25
06:30,7.88,29.07,6.82,17.21
06:45,7.84,28.84,6.92,17.46
07:00,7.80,28.58,7.23,18.53
07:15,7.75,28.24,6.26,13.51
07:30,7.68,27.84,5.69,10.45
07:45,7.61,27.39,6.08,11.99
08:00,7.53,26.92,5.89,11.53
08:15,7.47,26.47,5.97,11.46
08:30,7.40,26.06,5.43,9.18
08:45,7.34,25.67,5.12,7.65
09:00,7.28,25.28,5.21,7.84
09:15,7.22,24.89,4.77,6.32
09:30,7.17,24.59,4.82,5.99
09:45,7.15,24.43,4.53,5.29
10:00,7.15,24.38,4.47,4.69
10:15,7.16,24.42,4.58,5.27
10:30,7.17,24.51,4.41,4.76
10:45,7.20,24.62,4.51,5.07
11:00,7.17,24.56,4.76,5.79
11:15,7.14,24.53,4.74,6.07
11:30,7.12,24.54,4.69,5.52
11:45,7.12,24.65,4.72,5.60
12:00,7.14,24.85,4.46,5.09
12:15,7.16,25.10,4.57,5.64
12:30,7.19,25.42,5.24,8.28
12:45,7.23,25.80,6.21,13.12
13:00,7.28,26.23,6.20,13.08
13:15,7.33,26.68,7.10,19.70
13:30,7.44,27.32,7.45,22.21
13:45,7.54,27.94,7.02,19.46
14:00,7.65,28.55,7.24,20.56
14:15,7.74,29.07,8.05,26.51
14:30,7.80,29.47,8.09,27.39
14:45,7.87,29.83,8.14,26.55
15:00,7.89,30.01,8.82,31.63
15:15,7.89,30.08,9.62,39.06
15:30,7.87,30.07,9.36,35.90
15:45,7.84,29.97,9.31,36.52
16:00,7.80,29.81,8.87,33.24
16:15,7.75,29.56,8.92,33.91
16:30,7.69,29.22,10.22,42.50
16:45,7.61,28.80,10.19,41.94
17:00,7.52,28.30,10.38,42.55
17:15,7.41,27.64,10.53,44.95
17:30,7.29,26.88,9.73,39.57
17:45,7.15,25.95,9.63,34.71
18:00,6.99,24.85,9.69,39.11
18:15,6.81,23.69,9.23,35.53
18:30,6.65,22.56,8.43,29.40
18:45,6.50,21.50,7.38,21.03
19:00,6.36,20.62,7.15,20.47
19:15,6.22,19.77,7.78,24.16
19:30,6.08,18.94,7.58,21.50
19:45,5.95,18.20,7.42,20.70
20:00,5.85,17.61,7.28,19.54
20:15,5.77,17.19,6.69,15.12
20:30,5.71,16.90,6.99,16.84
20:45,5.66,16.66,7.58,21.72
21:00,5.61,16.40,6.25,12.62
21:15,5.54,16.11,6.84,16.39
21:30,5.48,15.70,7.19,18.29
21:45,5.42,15.30,7.51,21.42
22:00,5.35,14.89,7.03,18.31
22:15,5.26,14.40,7.74,21.53
22:30,5.14,13.76,6.95,16.11
22:45,4.98,12.99,6.68,15.85
23:00,5.06,13.22,6.65,14.80
23:15,5.11,13.33,5.60,9.18
23:30,5.13,13.33,4.81,6.08
23:45,5.12,13.20,4.95,6.23
20180815,短期预测风速(m/s),短期预测功率(MW),实测风速(m/s),实测功率(MW)
00:00,4.48,10.13,5.00,6.58
00:15,4.26,9.16,5.32,7.62
00:30,4.03,8.23,5.13,7.09
00:45,3.81,7.39,4.85,5.95
01:00,3.60,6.66,4.39,4.69
01:15,3.42,6.03,4.30,4.35
01:30,3.15,5.24,4.55,5.14
01:45,2.90,4.51,4.28,4.26
02:00,2.66,3.84,4.36,4.61
02:15,2.45,3.24,4.14,3.67
02:30,2.27,2.70,3.90,3.28
02:45,2.12,2.25,3.97,3.33
03:00,2.05,1.89,4.07,3.65
03:15,2.02,1.67,3.67,2.62
03:30,2.03,1.59,3.29,1.50
03:45,2.08,1.61,2.95,0.95
04:00,2.14,1.72,2.57,0.35
04:15,2.26,1.97,1.79,-0.06
04:30,2.41,2.34,1.38,-0.06
04:45,2.60,2.81,1.37,-0.06
05:00,2.82,3.37,1.31,-0.05
05:15,3.06,4.00,1.23,-0.05
05:30,3.28,4.65,1.89,-0.06
05:45,3.50,5.33,2.68,0.11
06:00,3.72,6.04,2.62,0.12
06:15,3.95,6.78,2.06,-0.04
06:30,4.19,7.59,1.65,-0.05
06:45,4.40,8.36,2.03,-0.06
07:00,4.47,8.68,2.60,0.14
07:15,4.52,8.92,2.40,0.02
07:30,4.55,9.06,2.49,0.12
07:45,4.55,9.11,2.33,0.07
08:00,4.52,9.02,2.71,0.41
08:15,4.46,8.80,2.63,0.42
08:30,4.37,8.50,2.86,0.79
08:45,4.27,8.14,3.13,1.12
09:00,4.14,7.72,3.08,1.31
09:15,4.00,7.26,3.25,1.47
09:30,3.97,7.12,3.81,2.74
09:45,3.92,6.93,4.34,4.14
10:00,3.85,6.70,4.80,5.62
10:15,3.77,6.42,4.64,5.02
10:30,3.68,6.11,4.46,4.36
10:45,3.58,5.77,4.13,3.55
11:00,3.36,5.12,3.65,2.41
11:15,3.12,4.43,3.29,1.74
11:30,2.88,3.75,2.46,0.57
11:45,2.67,3.13,2.57,0.56
12:00,2.49,2.57,2.68,0.80
12:15,2.32,2.07,2.55,0.71
12:30,2.18,1.64,2.38,0.23
12:45,2.07,1.30,1.93,0.12
13:00,1.97,1.03,1.81,0.01
13:15,1.91,0.84,2.04,0.08
13:30,1.96,0.98,2.41,0.56
13:45,2.05,1.22,2.14,0.29
14:00,2.15,1.51,2.34,0.27
14:15,2.25,1.80,2.16,0.35
14:30,2.34,2.09,2.45,0.41
14:45,2.43,2.36,3.12,1.55
15:00,2.51,2.58,2.92,1.15
15:15,2.58,2.80,3.04,1.77
15:30,2.67,3.06,3.11,1.20
15:45,2.77,3.35,3.73,2.49
16:00,2.89,3.67,3.58,2.42
16:15,3.00,4.00,4.37,4.27
16:30,3.12,4.33,3.25,2.33
16:45,3.23,4.64,3.68,1.99
17:00,3.32,4.90,4.36,4.06
17:15,3.39,5.09,4.26,3.90
17:30,3.44,5.27,4.50,4.79
17:45,3.47,5.37,3.98,3.20
18:00,3.48,5.40,3.85,3.05
18:15,3.46,5.34,3.14,1.39
18:30,3.42,5.20,3.14,1.61
18:45,3.34,4.98,3.88,2.98
19:00,3.24,4.76,3.86,2.94
19:15,3.12,4.48,3.65,2.37
19:30,2.99,4.17,3.51,2.44
19:45,2.87,3.88,3.09,1.32
20:00,2.76,3.63,2.92,0.92
20:15,2.66,3.41,2.80,0.40
20:30,2.57,3.20,2.98,0.86
20:45,2.48,3.01,2.45,0.36
21:00,2.39,2.82,2.68,0.60
21:15,2.30,2.66,3.34,1.49
21:30,2.23,2.43,4.69,5.23
21:45,2.18,2.26,4.92,5.87
22:00,2.15,2.17,5.27,6.99
22:15,2.14,2.17,5.02,6.30
22:30,2.16,2.23,5.10,6.91
22:45,2.20,2.36,4.91,6.02
23:00,2.36,2.85,4.46,4.91
23:15,2.54,3.38,4.21,4.08
23:30,2.75,3.98,4.23,4.20
23:45,2.97,4.64,3.81,3.02
20180816,短期预测风速(m/s),短期预测功率(MW),实测风速(m/s),实测功率(MW)
00:00,3.38,5.89,3.86,2.96
00:15,3.58,6.52,3.61,2.34
00:30,3.80,7.22,3.55,2.00
00:45,4.02,7.98,3.75,2.32
01:00,4.25,8.83,3.68,2.31
01:15,4.49,9.76,3.74,2.58
01:30,4.66,10.47,4.75,5.19
01:45,4.82,11.21,4.71,5.27
02:00,4.98,11.98,5.59,8.83
02:15,5.13,12.76,6.06,10.96
02:30,5.29,13.55,5.93,10.60
02:45,5.43,14.34,5.90,11.07
03:00,5.64,15.40,5.99,11.17
03:15,5.84,16.50,5.86,10.59
03:30,6.04,17.63,5.58,8.76
03:45,6.24,18.80,5.73,9.35
04:00,6.44,20.00,6.10,11.18
04:15,6.63,21.12,5.62,8.82
04:30,6.80,22.13,5.90,10.07
04:45,6.95,23.03,5.85,10.16
05:00,7.07,23.79,5.88,10.54
05:15,7.18,24.37,5.94,10.95
05:30,7.18,24.45,5.91,10.66
05:45,7.16,24.30,5.92,10.99
06:00,7.09,23.91,6.21,12.56
06:15,6.99,23.29,6.78,15.77
06:30,6.87,22.46,6.86,16.16
06:45,6.72,21.53,6.84,16.45
07:00,6.53,20.27,7.05,18.90
07:15,6.33,19.03,7.44,21.30
07:30,6.15,17.87,7.59,23.57
07:45,5.98,16.82,7.52,22.34
08:00,5.82,15.84,7.27,20.62
08:15,5.67,14.98,7.09,18.68
08:30,5.54,14.26,6.51,13.78
08:45,5.44,13.68,6.39,13.46
09:00,5.36,13.23,6.19,12.68
09:15,5.29,12.90,5.45,9.14
09:30,5.29,12.87,5.00,6.88
09:45,5.30,12.87,5.26,7.77
10:00,5.31,12.87,4.90,6.27
10:15,5.30,12.85,4.56,5.43
10:30,5.30,12.80,5.00,6.86
10:45,5.28,12.71,4.93,6.58
11:00,5.26,12.66,4.77,5.59
11:15,5.23,12.52,4.88,5.97
11:30,5.17,12.26,4.44,4.58
11:45,5.08,11.86,3.98,3.38
12:00,4.96,11.33,3.83,2.89
12:15,4.82,10.72,4.10,3.70
12:30,4.67,10.07,4.25,4.03
12:45,4.50,9.42,4.64,5.19
13:00,4.34,8.78,4.61,4.97
13:15,4.18,8.19,4.41,4.60
13:30,4.02,7.60,4.29,4.12
13:45,3.88,7.08,3.49,2.31
14:00,3.75,6.62,3.30,1.88
14:15,3.63,6.23,3.06,1.55
14:30,3.54,5.93,4.03,3.02
14:45,3.47,5.71,3.50,2.18
15:00,3.46,5.65,4.09,3.71
15:15,3.48,5.69,4.67,6.52
15:30,3.53,5.80,3.95,3.81
15:45,3.59,5.96,3.36,2.08
16:00,3.65,6.15,3.86,2.61
16:15,3.73,6.38,3.55,2.25
16:30,3.82,6.67,3.13,1.32
16:45,3.93,7.03,3.97,3.04
17:00,4.05,7.46,3.95,3.27
17:15,4.19,7.95,3.87,2.99
17:30,4.29,8.38,3.60,2.89
17:45,4.41,8.88,3.24,1.72
18:00,4.54,9.48,3.67,2.34
18:15,4.69,10.20,2.97,1.26
18:30,4.87,11.09,2.52,0.44
18:45,5.07,12.18,2.96,0.66
19:00,5.32,13.63,2.82,1.04
19:15,5.61,15.42,2.44,0.38
19:30,5.93,17.55,2.67,0.97
19:45,6.27,19.87,3.01,1.17
20:00,6.60,22.18,3.35,1.80
20:15,6.90,24.29,3.29,1.70
20:30,7.17,26.13,3.55,2.31
20:45,7.39,27.64,3.74,2.63
21:00,7.56,28.81,3.93,3.15
21:15,7.67,29.55,4.42,4.65
21:30,7.70,29.80,4.26,4.02
21:45,7.68,29.72,3.72,2.55
22:00,7.62,29.42,3.18,1.32
22:15,7.56,29.09,2.83,0.63
22:30,7.52,28.82,2.55,0.24
22:45,7.50,28.65,2.62,0.38
23:00,7.24,27.02,2.58,0.22
23:15,7.00,25.44,2.57,0.17
23:30,6.79,23.95,2.51,0.14
23:45,6.61,22.65,2.63,0.24
20180817,短期预测风速(m/s),短期预测功率(MW),实测风速(m/s),实测功率(MW)
00:00,6.10,16.99,4.97,5.80
00:15,5.80,14.88,5.05,6.20
00:30,5.53,12.88,5.01,6.57
00:45,5.27,11.06,5.71,10.01
01:00,5.02,9.37,5.16,7.06
01:15,4.79,7.88,4.49,4.78
01:30,4.80,6.78,4.86,5.71
01:45,4.89,5.65,4.47,4.77
02:00,5.06,4.37,4.01,3.99
02:15,5.29,5.29,3.87,3.49
02:30,5.55,6.53,4.33,4.24
02:45,5.81,8.20,4.80,6.07
03:00,5.95,10.06,4.77,5.49
03:15,6.09,12.02,5.29,7.20
03:30,6.25,13.87,5.63,8.79
03:45,6.40,15.54,5.71,9.17
04:00,6.55,17.09,5.46,8.34
04:15,6.66,18.60,5.50,8.49
04:30,6.73,19.96,5.26,7.12
04:45,6.75,21.21,4.04,3.52
05:00,6.73,22.30,3.78,2.69
05:15,6.69,21.78,3.07,1.41
05:30,6.72,21.37,2.49,0.37
05:45,6.71,20.82,2.75,0.43
06:00,6.66,20.12,2.74,0.56
06:15,6.56,19.24,3.21,1.30
06:30,6.42,18.21,3.32,1.71
06:45,6.29,17.33,3.26,1.66
07:00,6.22,16.78,3.26,1.65
07:15,6.17,16.26,3.68,2.51
07:30,6.13,15.87,4.05,3.52
07:45,6.10,15.52,4.11,3.72
08:00,6.07,15.13,3.92,3.31
08:15,6.05,15.17,4.03,3.61
08:30,6.02,15.02,4.63,5.00
08:45,5.99,14.59,5.24,7.28
09:00,5.97,13.95,5.36,7.54
09:15,5.95,13.70,5.31,7.58
09:30,5.88,13.22,5.16,6.94
09:45,5.82,12.57,5.11,6.85
10:00,5.77,12.07,5.12,6.78
10:15,5.73,11.92,5.01,6.46
10:30,5.69,11.98,5.34,7.58
10:45,5.66,11.93,5.41,7.58
11:00,5.64,12.04,4.79,5.69
11:15,5.63,12.17,4.54,4.75
11:30,5.62,12.21,3.95,3.16
11:45,5.60,12.23,3.74,2.81
12:00,5.59,12.20,3.06,1.32
12:15,5.56,12.29,2.95,1.09
12:30,5.53,12.52,2.98,1.12
12:45,5.52,12.84,2.86,0.91
13:00,5.52,13.22,2.70,0.77
13:15,5.54,13.71,3.09,1.31
13:30,5.55,14.01,3.45,1.97
13:45,5.58,14.19,3.82,2.79
14:00,5.60,14.32,4.78,5.78
14:15,5.60,14.19,5.14,7.86
14:30,5.60,14.06,5.75,9.70
14:45,5.59,13.95,4.67,5.75
15:00,5.53,13.81,5.39,8.07
15:15,5.45,13.72,4.43,4.57
15:30,5.34,13.56,3.44,2.43
15:45,5.21,13.33,3.11,1.62
16:00,5.07,13.09,2.89,1.16
16:15,4.93,12.79,3.11,1.56
16:30,4.79,12.46,3.00,1.37
16:45,4.66,12.07,2.01,0.21
17:00,4.54,11.63,2.05,0.14
17:15,4.42,11.28,3.00,0.97
17:30,4.35,10.98,3.29,2.00
17:45,4.29,10.71,3.46,2.12
18:00,4.29,10.55,3.10,1.31
18:15,4.42,10.76,3.67,2.86
18:30,4.70,11.32,3.68,2.15
18:45,5.08,12.14,4.18,3.79
19:00,5.52,13.07,6.29,11.88
19:15,5.96,14.09,7.88,21.72
19:30,6.35,15.05,8.18,24.38
19:45,6.73,16.01,8.75,28.33
20:00,7.18,17.10,8.05,23.13
20:15,7.59,18.43,13.85,49.57
20:30,7.95,19.58,14.46,37.19
20:45,8.19,20.39,14.84,37.47
21:00,8.28,20.74,14.64,36.99
21:15,8.24,20.45,16.06,36.52
21:30,8.13,20.41,16.16,36.33
21:45,7.99,20.73,15.86,37.55
22:00,7.87,21.07,15.47,36.88
22:15,7.75,21.33,16.13,41.80
22:30,7.52,21.43,14.53,40.55
22:45,7.30,21.51,15.14,39.15
23:00,7.20,21.73,14.48,40.86
23:15,7.13,22.31,14.88,41.03
23:30,7.10,22.86,14.60,41.81
23:45,7.10,23.44,13.15,41.70
20180818,短期预测风速(m/s),短期预测功率(MW),实测风速(m/s),实测功率(MW)
00:00,6.46,36.94,12.11,42.44
00:15,6.18,36.07,10.78,41.70
00:30,5.91,35.27,10.62,45.90
00:45,5.69,34.26,10.21,44.56
01:00,5.54,33.41,9.55,38.74
01:15,5.48,35.66,10.03,43.19
01:30,5.57,37.69,9.46,39.39
01:45,5.82,38.60,7.62,23.14
02:00,6.14,38.24,7.21,18.71
02:15,6.49,36.45,8.15,25.63
02:30,6.86,35.00,8.21,25.70
02:45,7.24,34.26,7.62,21.70
03:00,7.61,34.12,8.70,30.01
03:15,7.95,34.30,8.14,25.98
03:30,8.24,34.47,8.78,32.72
03:45,8.46,34.48,9.05,35.21
04:00,8.60,34.27,9.56,39.12
04:15,8.57,33.67,9.10,36.91
04:30,8.50,32.92,8.81,34.04
04:45,8.42,32.08,9.01,35.01
05:00,8.34,31.15,9.05,35.25
05:15,8.25,30.33,9.30,37.87
05:30,8.18,29.51,9.24,35.88
05:45,8.10,28.73,9.59,38.48
06:00,8.02,28.07,10.90,44.44
06:15,7.94,27.67,11.11,47.51
06:30,7.83,27.28,10.66,46.17
06:45,7.71,26.71,11.06,46.78
07:00,7.60,26.08,11.60,50.22
07:15,7.49,25.40,10.41,45.83
07:30,7.37,24.59,9.66,38.91
07:45,7.24,23.66,9.20,34.67
08:00,7.10,22.52,8.84,33.20
08:15,6.95,21.41,8.11,26.14
08:30,6.79,20.30,7.05,17.06
08:45,6.63,19.28,5.66,9.63
09:00,6.47,18.45,4.91,6.80
09:15,6.32,17.59,4.04,3.46
09:30,6.17,16.77,3.84,3.06
09:45,6.02,15.83,3.26,1.70
10:00,5.88,14.90,3.21,1.49
10:15,5.73,13.75,1.99,0.02
10:30,5.58,12.58,1.40,-0.05
10:45,5.44,11.74,1.49,-0.06
11:00,5.30,11.19,1.50,-0.06
11:15,5.17,10.56,1.58,-0.04
11:30,5.06,9.95,1.94,0.06
11:45,4.96,9.30,1.70,0.04
12:00,4.88,8.66,1.46,-0.04
12:15,4.81,8.12,1.58,-0.05
12:30,4.75,7.91,1.48,-0.03
12:45,4.69,7.90,1.45,-0.05
13:00,4.64,7.70,1.65,-0.03
13:15,4.61,7.25,1.78,-0.04
13:30,4.57,6.75,1.87,0.05
13:45,4.53,6.27,2.30,0.13
14:00,4.49,5.84,2.98,1.25
14:15,4.40,5.69,2.92,1.08
14:30,4.30,5.55,3.17,1.47
14:45,4.21,5.39,2.88,1.30
15:00,4.12,5.28,3.38,1.10
15:15,4.03,5.19,2.72,0.17
15:30,3.93,5.11,2.52,-0.08
15:45,3.84,5.02,3.58,2.58
16:00,3.75,4.91,4.19,3.92
16:15,3.67,4.79,4.41,5.02
16:30,3.61,4.63,4.80,5.68
16:45,3.61,4.50,3.04,0.59
17:00,3.62,4.39,3.53,-0.07
17:15,3.64,4.60,4.05,-0.07
17:30,3.71,4.85,4.23,-0.07
17:45,3.79,5.18,4.94,-0.06
18:00,3.88,5.56,5.27,-0.07
18:15,4.00,5.95,5.46,-0.07
18:30,4.13,6.36,5.95,3.85
18:45,4.26,6.84,6.43,12.67
19:00,4.39,7.40,5.42,7.48
19:15,4.53,8.00,5.61,8.71
19:30,4.67,8.62,6.00,9.90
19:45,4.77,9.20,5.41,7.18
20:00,4.84,9.81,6.31,11.91
20:15,4.92,10.31,4.83,5.21
20:30,5.00,10.87,5.22,7.77
20:45,5.08,11.47,5.56,8.57
21:00,5.16,12.10,5.47,7.76
21:15,5.24,12.73,5.69,9.26
21:30,5.31,13.32,5.75,9.47
21:45,5.38,13.88,5.74,9.47
22:00,5.43,14.42,6.37,12.64
22:15,5.47,14.96,6.02,10.75
22:30,5.45,15.33,5.91,10.02
22:45,5.38,15.44,5.82,9.57
23:00,5.25,15.37,4.75,5.34
23:15,5.06,13.50,4.49,4.63
23:30,4.86,11.72,3.60,2.29
23:45,4.60,9.97,3.42,1.55
20180819,短期预测风速(m/s),短期预测功率(MW),实测风速(m/s),实测功率(MW)
00:00,4.91,13.72,3.46,1.81
00:15,4.72,12.77,3.59,2.12
00:30,4.47,11.70,3.95,3.06
00:45,4.37,11.22,4.31,4.09
01:00,4.34,11.28,4.87,5.85
01:15,4.36,11.81,4.81,5.59
01:30,4.45,12.37,4.21,3.71
01:45,4.45,12.52,4.12,3.52
02:00,4.47,12.43,4.67,5.10
02:15,4.50,12.70,5.17,6.49
02:30,4.52,12.96,5.17,6.83
02:45,4.50,13.16,5.40,7.90
03:00,4.55,13.43,5.45,8.12
03:15,4.56,13.53,4.66,5.22
03:30,4.54,13.58,4.88,6.26
03:45,4.50,13.60,5.24,7.66
04:00,4.45,13.57,5.15,6.74
04:15,4.38,13.57,4.96,6.17
04:30,4.31,13.64,4.93,6.12
04:45,4.25,13.67,5.47,8.04
05:00,4.19,13.70,5.86,10.31
05:15,4.14,13.53,5.29,7.71
05:30,4.11,13.38,5.70,9.20
05:45,4.10,13.11,5.25,7.67
06:00,4.09,12.99,4.45,4.65
06:15,4.09,13.01,4.62,5.11
06:30,4.10,12.92,4.92,6.10
06:45,4.10,12.82,3.84,3.05
07:00,4.11,12.76,3.30,1.73
07:15,4.11,12.74,3.64,2.38
07:30,4.11,12.83,3.22,1.49
07:45,4.10,12.91,3.03,1.01
08:00,4.08,12.96,3.25,1.31
08:15,4.04,12.20,4.04,3.20
08:30,4.01,11.48,3.80,2.60
08:45,3.97,10.87,3.51,2.09
09:00,3.92,10.42,4.36,3.72
09:15,3.88,10.01,3.78,2.66
09:30,3.83,9.63,4.08,3.24
09:45,3.85,9.43,4.17,3.54
10:00,3.87,9.19,4.10,3.58
10:15,3.85,8.88,3.44,2.04
10:30,3.83,8.60,3.65,2.31
10:45,3.84,8.37,4.05,3.25
11:00,3.85,8.02,3.24,1.44
11:15,3.89,8.28,3.23,1.41
11:30,3.94,8.54,3.15,1.24
11:45,4.00,8.79,3.23,1.50
12:00,4.08,9.04,2.83,0.81
12:15,4.10,9.15,2.10,0.04
12:30,4.14,9.24,2.22,0.00
12:45,4.25,9.54,2.19,0.16
13:00,4.35,10.02,2.90,0.81
13:15,4.46,10.51,2.84,0.80
13:30,4.56,10.97,3.07,0.85
13:45,4.65,11.36,3.66,1.89
14:00,4.73,11.68,3.14,1.35
14:15,4.79,11.75,3.68,2.36
14:30,4.84,11.90,3.60,2.38
14:45,4.88,12.09,3.64,2.40
15:00,4.91,12.21,4.13,3.30
